Coordinates (in mm) in engineering system:
(x is right, y is up looking from center
of mirror dish, in park position)

pix. id      x            y
 855    -769.2181     -28.3473
 856    -752.8517     -75.5929
 857    -736.4854    -122.8385
 858    -720.1190    -170.0840
 859    -703.7527    -217.3296
 860    -687.3864    -264.5751
 861    -671.0200    -311.8207
 862    -654.6537    -359.0663
 863    -638.2873    -406.3118
 864    -621.9210    -453.5574
 865    -605.5546    -500.8029
 866    -589.1883    -548.0485
 867    -572.8220    -595.2940
 868    -556.4556    -642.5396
 869    -507.3566    -651.9887
 870    -458.2576    -661.4378
 871    -409.1585    -670.8869
 872    -360.0595    -680.3361
 873    -310.9605    -689.7852
 874    -261.8615    -699.2343
 875    -212.7624    -708.6834
 876    -163.6634    -718.1325
 877    -114.5644    -727.5816
 878     -65.4654    -737.0307
 879     -16.3663    -746.4798
 880      32.7327    -755.9289
 881      81.8317    -765.3781
 882     130.9307    -774.8272
 883     180.0298    -784.2763
 884     229.1288    -793.7254
 885     278.2278    -803.1745
 886     310.9605    -765.3781
 887     343.6932    -727.5816
 888     376.4259    -689.7852
 889     409.1585    -651.9887
 890     441.8912    -614.1923
 891     474.6239    -576.3958
 892     507.3566    -538.5994
 893     540.0893    -500.8029
 894     572.8220    -463.0065
 895     605.5546    -425.2100
 896     638.2873    -387.4136
 897     671.0200    -349.6171
 898     703.7527    -311.8207
 899     736.4854    -274.0242
 900     769.2181    -236.2278
 901     801.9507    -198.4313
 902     834.6834    -160.6349
 903     818.3171    -113.3893
 904     801.9507     -66.1438
 905     785.5844     -18.8982
 906     769.2181      28.3473
 907     752.8517      75.5929
 908     736.4854     122.8385
 909     720.1190     170.0840
 910     703.7527     217.3296
 911     687.3864     264.5751
 912     671.0200     311.8207
 913     654.6537     359.0663
 914     638.2873     406.3118
 915     621.9210     453.5574
 916     605.5546     500.8029
 917     589.1883     548.0485
 918     572.8220     595.2940
 919     589.1883     680.3361
 920     540.0893     689.7852
 921     490.9903     699.2343
 922     441.8912     708.6834
 923     392.7922     718.1325
 924     343.6932     727.5816
 925     294.5941     737.0307
 926     245.4951     746.4798
 927     196.3961     755.9289
 928     147.2971     765.3781
 929      98.1980     774.8272
 930      49.0990     784.2763
 931       0.0000     793.7254
 932     -49.0990     803.1745
 933     -98.1981     812.6236
 934    -147.2971     822.0727
 935    -196.3961     831.5218
 936    -245.4951     840.9710
 937    -294.5942     850.4201
 938    -327.3268     812.6236
 939    -360.0595     774.8272
 940    -392.7922     737.0307
 941    -425.5249     699.2343
 942    -458.2576     661.4378
 943    -490.9903     623.6414
 944    -523.7229     585.8449
 945    -556.4556     548.0485
 946    -589.1883     510.2520
 947    -621.9210     472.4556
 948    -654.6537     434.6591
 949    -687.3864     396.8627
 950    -720.1190     359.0662
 951    -752.8517     321.2698
 952    -785.5844     283.4734
 953    -818.3171     245.6769
 954    -851.0498     207.8805
 955    -883.7825     170.0840
 956    -867.4161     122.8385
 957    -851.0498      75.5929
 958    -834.6834      28.3473
 959    -818.3171     -18.8982
 960    -801.9507     -66.1438
 961    -785.5844    -113.3893
 962    -769.2181    -160.6349
 963    -752.8517    -207.8805
 964    -736.4854    -255.1260
 965    -720.1190    -302.3716
 966    -703.7527    -349.6171
 967    -687.3864    -396.8627
 968    -671.0200    -444.1083
 969    -654.6537    -491.3538
 970    -638.2873    -538.5994
 971    -621.9210    -585.8449
 972    -605.5546    -633.0905
 973    -589.1883    -680.3361
 974    -540.0893    -689.7852
 975    -490.9903    -699.2343
 976    -441.8912    -708.6834
 977    -392.7922    -718.1325
 978    -343.6932    -727.5816
 979    -294.5941    -737.0307
 980    -245.4951    -746.4798
 981    -196.3961    -755.9289
 982    -147.2971    -765.3781
 983     -98.1980    -774.8272
